Dirección;Número instalación;Municipio
CL 15 B CR 5 -36 (INTERIOR 301 );221015205000360301;BARBOSA
CL 20 CR 19 A -11;222110009100110000;BARBOSA
CR 5 CL 13 -19;221025003000190000;BARBOSA
CR 11 CL 16 -34 (INTERIOR 502 );221121006000340502;BARBOSA
CR 11 CL 16 -34 (INTERIOR 501 );221121006000340501;BARBOSA
CR 15 CL 21 -29 (INTERIOR 108 );222125001000290108;BARBOSA
CL 4 A CR 18 A -13 (INTERIOR 302 );220114108100130302;BARBOSA
CL 12 CR 7 -0 (INTERIOR 102 );221012007000000102;BARBOSA
AVDA 36 BB DIAG 42 DC -55;094336222430550000;BELLO
CR 45 CL 32 D -50 (INTERIOR 301 );093425002400500301;BELLO
AVDA 38 C DIAG 42 DD -2 (INTERIOR 201 );094338302440020201;BELLO
CR 63 A CL 77 -20 (INTERIOR 1504 );097623107000201504;BELLO
CL 64 CR 55 B -19 (INTERIOR 503 );096514005200190503;BELLO
AVDA 32 C DIAG 42 F -28;094332302600280000;BELLO
CR 64 CL 61 -75 (INTERIOR 303 );096624001000750303;BELLO
CR 57 A CL 70 -63;097527100000630000;BELLO
CR 49 B CL 26 B -50 (INTERIOR 606 );092429206200500606;BELLO
AVDA 26 DIAG 52 -140 (INTERIOR 802 );095236002001400802;BELLO
CL 43 CR 57 -18 (INTERIOR 301 );094513007000180301;BELLO
CR 45 CL 26 -162 (INTERIOR 1814 );092425006001621814;BELLO
AVDA 36 A DIAG 64 -42 (INTERIOR 301 );096336104000420301;BELLO
CR 49 B CL 26 B -50 (INTERIOR 2501 );092429206200502501;BELLO
DIAG 43 AVDA 34 E -20 (INTERIOR 438 );094373004500200438;BELLO
CL 58 CR 51 -53 (INTERIOR 307 );095518001000530307;BELLO
CR 45 CL 26 -162 (INTERIOR 321 );092425006001620321;BELLO
AVDA 21 B DIAG 57 -95;095231207000950000;BELLO
AVDA 21 B DIAG 57 AA -118 (INTERIOR 202 );095231207111180202;BELLO
CL 48 CR 53 A -22;094518003100220000;BELLO
AVDA 26 DIAG 52 -140 (INTERIOR 2304 );095236002001402304;BELLO
CL 67 A CR 57 A -40 (INTERIOR 301 );096517107100400301;BELLO
CL 50 CR 56 -21 (INTERIOR 301 );095510006000210301;BELLO
AVDA 31 DIAG 66 -29 (INTERIOR 814 );096331006000290814;BELLO
AVDA 33 DIAG 51 -101 (INTERIOR 501 );095333001001010501;BELLO
CL 40 C CR 58 C -16;094510308300160000;BELLO
AVDA 36 B DIAG 42 DA -31;094336202410310000;BELLO
AVDA 36 AA DIAG 42 D -9;094336112400090000;BELLO
AVDA 37 DIAG 45 -88;094337005000880000;BELLO
AVDA 31 DIAG 66 -29 (INTERIOR 1013 );096331006000291013;BELLO
CR 66 A CL 63 -38 (INTERIOR 201 );096626103000380201;BELLO
CL 32 A CR 50 -70;093512100000700000;BELLO
CL 50 CR 56 -21;095510006000210000;BELLO
AVDA 36 B DIAG 42 E -10 (INTERIOR 201 );094336202500100201;BELLO
DIAG 50 A AVDA 32 -200 (INTERIOR 2326 );095370102002002326;BELLO
CR 67 CL 72 -96;097627002000960000;BELLO
CR 67 CL 72 -94;097627002000940000;BELLO
DIAG 57 AVDA 44 -14 (INTERIOR 301 );095477004000140301;BELLO
AVDA 26 DIAG 52 -140 (INTERIOR 2205 );095236002001402205;BELLO
CL 56 CR 55 -54 (INTERIOR 201 );095516005000540201;BELLO
CL 63 CR 60 -13 (INTERIOR 302 );096613000000130302;BELLO
AVDA 34 DIAG 43 C -17 (INTERIOR 301 );094334003300170301;BELLO
CL 66 CR 59 -75 (INTERIOR 301 );096516009000750301;BELLO
DIAG 55 AVDA 45 A -21;095475005100210000;BELLO
CL 46 CR 50 -15 (INTERIOR 401 );094516000000150401;BELLO
CR 58 D CL 40 D -60 (INTERIOR 302 );094528400400600302;BELLO
CL 26 CR 43 -51 (INTERIOR 2509 );092416003000512509;BELLO
CL 33 CR 50 -105 (INTERIOR 101 );093513000001050101;BELLO
CR 63 CL 69 B -54 (INTERIOR 301 );096623009200540301;BELLO
CL 45 CR 48 A -23;094415008100230000;BELLO
CL 21 C CR 41 F -34 (INTERIOR 201 );092411301600340201;BELLO
CR 51 CL 45 -37;094521005000370000;BELLO
CR 60 CL 67 -30 (INTERIOR 201 );096620007000300201;BELLO
CL 21 C CR 41 -110 (INTERIOR 201 );092411301001100201;BELLO
AVDA 38 C DIAG 42 DD -66 (INTERIOR 401 );094338302440660401;BELLO
CR 53 CL 33 -34 (INTERIOR 101 );093523003000340101;BELLO
CR 50 CL 71 -32;097520001000320000;BELLO
CL 129 SUR CR 55 -103;002519005001030000;CALDAS
CL 129 SUR CR 55 -105;002519005001050000;CALDAS
CR 51 CL 117 B SUR -34 (INTERIOR 117 );001521007200340117;CALDAS
CL 130 SUR CR 44 B -14 (INTERIOR 301 );003410004200140301;CALDAS
CL 129 SUR CR 56 -9;002519006000090000;CALDAS
CR 48 CL 142 SUR -53 (INTERIOR 201 );004428002000530201;CALDAS
CR 49 CL 127 SUR -24 (INTERIOR 301 );002429007000240301;CALDAS
CR 50 CL 145 SUR -83 (INTERIOR 506 );004520005000830506;CALDAS
CL 129 SUR CR 56 -61 (INTERIOR 282 );002519006000610282;CALDAS
CR 48 CL 127 SUR -34;002428007000340000;CALDAS
CR 51 CL 131 SUR -38 (INTERIOR 603 );003521001000380603;CALDAS
CR 51 CL 131 SUR -38 (INTERIOR 302 );003521001000380302;CALDAS
CL 127 B SUR CR 54 -47;002517204000470000;CALDAS
CL 129 SUR CR 50 -44 (INTERIOR 403 );002519000000440403;CALDAS
CL 132 SUR CR 51 -46 (INTERIOR 104 );003512001000460104;CALDAS
CR 52 CL 139 C SUR -18;003522009300180000;CALDAS
CL 107 SUR CR 50 -99 (INTERIOR 707 );000517000000990707;CALDAS
CR 51 CL 131 SUR -38 (INTERIOR 206 );003521001000380206;CALDAS
DIAG 53 B CL 124 B SUR -132 (INTERIOR 103 );002573204201320103;CALDAS
CL 48 CR 61 -71 (INTERIOR 1702 );204618001000711702;COPACABANA
CR 60 A CL 49 A -32 (INTERIOR 202 );204620109100320202;COPACABANA
CR 63 CL 49 -4 (INTERIOR 68 );204623009000040068;COPACABANA
CL 49 CR 56 -15 (INTERIOR 201 );204519006000150201;COPACABANA
CR 50 CL 37 D -18;203520007400180000;COPACABANA
CR 27 C CL 23 SUR -51 (INTERIOR 187 );022227303000510187;ENVIGADO
CR 36 D CL 42 SUR -50 (INTERIOR 97 );024326402000500097;ENVIGADO
CL 27 SUR CR 28 -49 (INTERIOR 1103 );022217008000491103;ENVIGADO
CL 27 SUR CR 28 -270 (INTERIOR 703 );022217008002700703;ENVIGADO
CL 41 B SUR CR 34 -50 (INTERIOR 9803 );024311204000509803;ENVIGADO
CL 27 SUR CR 28 -270 (INTERIOR 601 );022217008002700601;ENVIGADO
CL 27 D SUR CR 27 C -150 (INTERIOR 902 );022217407301500902;ENVIGADO
CR 45 A CL 34 SUR -57 (INTERIOR 306 );023425104000570306;ENVIGADO
CL 38 SUR CR 29 A -25 (INTERIOR 202 );023218009100250202;ENVIGADO
CL 53 C SUR CR 40 B -160 (INTERIOR 312 );025413300201600312;ENVIGADO
CR 39 E CL 48 C SUR -103 (INTERIOR 203 );024329508301030203;ENVIGADO
CL 46 SUR CR 46 C -100 (INTERIOR 325 );024416006301000325;ENVIGADO
TRAN 35 B SUR DIAG 31 A -20;023395201100200000;ENVIGADO
CL 19 SUR CR 45 -73 (INTERIOR 301 );021419005000730301;ENVIGADO
CL 29 SUR CR 45 A -60 (INTERIOR 519 );022419005100600519;ENVIGADO
CL 41 B SUR CR 25 A -71 (INTERIOR 146 );024211205100710146;ENVIGADO
CL 41 SUR CR 25 -149 (INTERIOR 180 );024211005001490180;ENVIGADO
CL 40 SUR CR 44 -9 (INTERIOR 202 );024410004000090202;ENVIGADO
CL 40 F SUR CR 32 B -35 (INTERIOR 9908 );024310602200359908;ENVIGADO
CL 45 SUR CR 43 A -96;024415003100960000;ENVIGADO
CL 40 A SUR CR 24 B -105 (INTERIOR 1139 );024210104201051139;ENVIGADO
CL 41 A SUR CR 27 A -70 (INTERIOR 1311 );024211107100701311;ENVIGADO
CR 39 E CL 48 C SUR -36 (INTERIOR 1207 );024329508300361207;ENVIGADO
CR 29 A CL 39 SUR -34 (INTERIOR 408 );023229109000340408;ENVIGADO
CL 40 A SUR CR 34 A -20 (INTERIOR 301 );024310104100200301;ENVIGADO
CR 25 A CL 41 SUR -74;024225101000740000;ENVIGADO
CL 20 SUR CR 45 -70 (INTERIOR 801 );022410005000700801;ENVIGADO
TRAN 36 SUR DIAG 29 -84;023296009000840000;ENVIGADO
CL 39 B SUR CR 34 A -67;023319204100670000;ENVIGADO
CL 36 SUR CR 38 -11;023316008000110000;ENVIGADO
CR 46 A CL 29 SUR -20 (INTERIOR 314 );022426109000200314;ENVIGADO
CL 27 SUR CR 28 -49 (INTERIOR 501 );022217008000490501;ENVIGADO
CL 25 A SUR CR 42 B -61 (INTERIOR 117 );022415102200610117;ENVIGADO
CR 45 CL 26 SUR -21 (INTERIOR 303 );022425006000210303;ENVIGADO
CR 27 C CL 23 SUR -51 (INTERIOR 128 );022227303000510128;ENVIGADO
CR 25 A CL 38 D SUR -45;023225108400450000;ENVIGADO
CL 38 SUR CR 41 -73;023418001000730000;ENVIGADO
CR 25 A CL 38 D SUR -30 (INTERIOR 1905 );023225108400301905;ENVIGADO
CR 25 A CL 38 D SUR -30 (INTERIOR 1204 );023225108400301204;ENVIGADO
CL 39 A SUR CR 43 A -161 (INTERIOR 1106 );023419103101611106;ENVIGADO
CL 40 D SUR CR 39 -98 (INTERIOR 209 );024310409000980209;ENVIGADO
CL 27 D SUR CR 27 C -150 (INTERIOR 1403 );022217407301501403;ENVIGADO
CL 41 SUR CR 25 A -119 (INTERIOR 177 );024211005101190177;ENVIGADO
CR 40 A CL 40 D SUR -4 (INTERIOR 401 );024420100400040401;ENVIGADO
CL 39 SUR CR 37 -41;023319007000410000;ENVIGADO
CR 36 D CL 43 SUR -49 (INTERIOR 207 );024326403000490207;ENVIGADO
CL 23 SUR CR 44 -56 (INTERIOR 602 );022413004000560602;ENVIGADO
DIAG 32 D TRAN 32 A SUR -11 (INTERIOR 302 );023372402100110302;ENVIGADO
CL 27 D SUR CR 27 C -150 (INTERIOR 1402 );022217407301501402;ENVIGADO
CR 45 A CL 33 B SUR -28;023425103200280000;ENVIGADO
CL 27 SUR CR 27 D -79 (INTERIOR 816 );022217007400790816;ENVIGADO
CL 41 SUR CR 25 A -79;024211005100790000;ENVIGADO
TRAN 32 C SUR DIAG 33 -33;023392303000330000;ENVIGADO
CR 32 CL 41 AA SUR -14 (INTERIOR 303 );024322001110140303;ENVIGADO
CL 27 SUR CR 27 -92 (INTERIOR 1508 );022217007000921508;ENVIGADO
CL 22 SUR CR 44 -80 (INTERIOR 804 );022412004000800804;ENVIGADO
TRAN 32 SUR DIAG 32 D -11 (INTERIOR 201 );023392002400110201;ENVIGADO
CL 37 B SUR CR 27 AA -71 (INTERIOR 507 );023217207110710507;ENVIGADO
CR 28 CL 37 B SUR -51 (INTERIOR 102 );023228007200510102;ENVIGADO
CR 39 CL 36 SUR -14 (INTERIOR 201 );023329006000140201;ENVIGADO
CL 48 A SUR CR 39 B -24;024318109200240000;ENVIGADO
CR 27 C CL 23 SUR -152 (INTERIOR 101 );022227303001520101;ENVIGADO
CL 22 SUR CR 44 -80 (INTERIOR 707 );022412004000800707;ENVIGADO
CL 28 SUR CR 27 -201 (INTERIOR 1309 );022218007002011309;ENVIGADO
CR 32 CL 38 A SUR -57 (INTERIOR 301 );023322008100570301;ENVIGADO
CL 41 B SUR CR 34 -50 (INTERIOR 506 );024311204000500506;ENVIGADO
CL 27 SUR CR 27 B -100 (INTERIOR 111 );022217007201000111;ENVIGADO
CL 25 C SUR CR 45 -57 (INTERIOR 906 );022415305000570906;ENVIGADO
CR 40 B CL 52 B SUR -99 (INTERIOR 101 );025420202200990101;ENVIGADO
CL 38 A SUR CR 43 -53 (INTERIOR 301 );023418103000530301;ENVIGADO
CL 27 SUR CR 28 -49 (INTERIOR 1101 );022217008000491101;ENVIGADO
CL 40 A SUR CR 24 B -105 (INTERIOR 628 );024210104201050628;ENVIGADO
CR 46 A CL 45 BB SUR -106 (INTERIOR 302 );024426105221060302;ENVIGADO
CR 41 CL 40 B SUR -23 (INTERIOR 301 );024421000200230301;ENVIGADO
CL 26 A SUR CR 28 C -24;022216108300240000;ENVIGADO
CL 27 SUR CR 27 D -79 (INTERIOR 506 );022217007400790506;ENVIGADO
CL 37 SUR CR 27 -90 (INTERIOR 819 );023217007000900819;ENVIGADO
CL 41 SUR CR 25 A -75;024211005100750000;ENVIGADO
TRAN 32 C SUR DIAG 31 E -9 (INTERIOR 202 );023392301500090202;ENVIGADO
CL 46 SUR CR 46 C -100 (INTERIOR 516 );024416006301000516;ENVIGADO
CR 25 AA CL 39 SUR -30;023225119000300000;ENVIGADO
CL 8 CR 20 -9 (INTERIOR 202 );210218000000090202;GIRARDOTA
CR 61 CL 33 -65 (INTERIOR 2601 );073621003000652601;ITAGUI
CL 45 CR 54 -50 (INTERIOR 301 );074515004000500301;ITAGUI
CR 69 CL 26 -16 (INTERIOR 301 );072629006000160301;ITAGUI
DIAG 40 CL 32 -54 (INTERIOR 114 );073470002000540114;ITAGUI
CR 58 CL 65 -19;076528005000190000;ITAGUI
CR 59 CL 70 -349 (INTERIOR 1035 );077529000003491035;ITAGUI
CR 70 CL 33 A -51 (INTERIOR 301 );073720003100510301;ITAGUI
CR 57 A CL 62 -24;076527102000240000;ITAGUI
CR 65 CL 28 -32 (INTERIOR 201 );072625008000320201;ITAGUI
CL 28 A CR 54 B -15 (INTERIOR 201 );072518104200150201;ITAGUI
CL 85 CR 50 A -31;078515000100310000;ITAGUI
CL 32 CR 61 -230 (INTERIOR 922 );073612001002300922;ITAGUI
CL 35 B CR 69 B -40 (INTERIOR 301 );073615209200400301;ITAGUI
CL 85 CR 50 A -21;078515000100210000;ITAGUI
CL 29 A CR 50 A -26 (INTERIOR 101 );072519100100260101;ITAGUI
CR 61 CL 33 -65 (INTERIOR 1006 );073621003000651006;ITAGUI
CR 63 CL 33 -60 (INTERIOR 2402 );073623003000602402;ITAGUI
CL 60 CR 55 -12 (INTERIOR 201 );076510005000120201;ITAGUI
CL 38 A CR 56 -61;073518106000610000;ITAGUI
CL 75 SUR CR 52 G -101 (INTERIOR 1335 );777515002701011335;ITAGUI
CR 61 CL 33 -65 (INTERIOR 603 );073621003000650603;ITAGUI
CR 65 A CL 39 -33;073625109000330000;ITAGUI
CR 55 B CL 56 -26;075525206000260000;ITAGUI
CR 68 CL 36 -106 (INTERIOR 202 );073628006001060202;ITAGUI
CL 84 CR 58 -50 (INTERIOR 2015 );078514008000502015;ITAGUI
CR 55 AA CL 56 -15 (INTERIOR 121 );075525116000150121;ITAGUI
CR 53 B CL 13 A SUR -65 (INTERIOR 135 );771523203100650135;ITAGUI
CR 65 CL 34 A -49;073625004100490000;ITAGUI
CL 35 CR 51 -24 (INTERIOR 201 );073515001000240201;ITAGUI
CL 45 CR 50 A -51 (INTERIOR 301 );074515000100510301;ITAGUI
CL 71 CR 52 A -103 (INTERIOR 301 );077511002101030301;ITAGUI
CL 63 C CR 55 -42 (INTERIOR 201 );076513305000420201;ITAGUI
CR 70 CL 31 -101;073720001001010000;ITAGUI
CR 61 CL 33 -65 (INTERIOR 906 );073621003000650906;ITAGUI
CR 52 F CL 73 -54 (INTERIOR 202 );077522603000540202;ITAGUI
CR 50 A CL 73 A -62 (INTERIOR 201 );077520103100620201;ITAGUI
CR 61 CL 33 -65 (INTERIOR 1805 );073621003000651805;ITAGUI
CL 70 CR 59 -193 (INTERIOR 454 );077510009001930454;ITAGUI
CR 55 A CL 44 A -3;074525104100030000;ITAGUI
CL 34 A CR 46 -5 (INTERIOR 201 );073414106000050201;ITAGUI
CR 61 CL 33 -65 (INTERIOR 1906 );073621003000651906;ITAGUI
CL 28 CR 56 A -12 (INTERIOR 301 );072518006100120301;ITAGUI
CL 29 A CR 68 -23;072619108000230000;ITAGUI
CL 14 SUR CR 58 -60 (INTERIOR 1509 );771514008000601509;ITAGUI
CR 47 CL 75 -67 (INTERIOR 301 );077427005000670301;ITAGUI
CL 37 B CR 58 -93 (INTERIOR 102 );073517208000930102;ITAGUI
CR 61 CL 33 -65 (INTERIOR 1808 );073621003000651808;ITAGUI
CR 58 CL 77 -41 (INTERIOR 452 );077528007000410452;ITAGUI
CR 50 CL 86 -45;078520006000450000;ITAGUI
CR 59 CL 75 AA SUR -75 (INTERIOR 17 );037529005110750017;LA ESTRELLA
CL 87 SUR CR 55 -192 (INTERIOR 903 );038517005001920903;LA ESTRELLA
CL 87 SUR CR 55 -192 (INTERIOR 1601 );038517005001921601;LA ESTRELLA
CL 78 SUR CR 50 F -13;037518000600130000;LA ESTRELLA
CR 56 C CL 83 DD SUR -201 (INTERIOR 1305 );038526303442011305;LA ESTRELLA
CL 77 A SUR CR 55 -86;037517105000860000;LA ESTRELLA
CR 57 CL 75 AA SUR -7;037527005110070000;LA ESTRELLA
CR 51 CL 98 SUR -237 (INTERIOR 1106 );039521008002371106;LA ESTRELLA
CR 60 CL 75 AA SUR -75 (INTERIOR 170 );037620005110750170;LA ESTRELLA
CR 51 CL 98 SUR -237 (INTERIOR 1620 );039521008002371620;LA ESTRELLA
CL 59 CR 132 -67;085319002000670000;MEDELLIN
CR 49 CL 61 -28;056429001000280000;MEDELLIN
CR 77 CL 60 -45 (INTERIOR 2507 );056727000000452507;MEDELLIN
CL 52 B SUR CR 72 -132;045712202001320000;MEDELLIN
CR 65 G CL 20 -9 (INTERIOR 401 );052625700000090401;MEDELLIN
CL 103 C CR 66 -8 (INTERIOR 301 );060613306000080301;MEDELLIN
CR 32 CL 5 G -70 (INTERIOR 3203 );050322005700703203;MEDELLIN
CR 84 D CL 104 DD -18;060824404440180000;MEDELLIN
CL 92 A CR 36 -82 (INTERIOR 301 );059312106000820301;MEDELLIN
CL 57 F CR 92 CC -89 (INTERIOR 347 );055917602330890347;MEDELLIN
CL 42 CR 108 A -120 (INTERIOR 208 );084012008101200208;MEDELLIN
CL 81 CR 45 -57 (INTERIOR 201 );058411005000570201;MEDELLIN
